cell_line_name,drug_name,drug_smiles,pubchem_cid,auc,ec50,ic50
MFE296,floxuridine,"OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O, OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O",5702211,0.726372759,0.484110237,0.501776019
PSN1,floxuridine,"OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O, OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O",5702211,0.336462625,0.007499057,0.007879439
KYSE270,floxuridine,"OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O, OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O",5702211,0.548483205,0.094522574,0.097745247
KYSE150,floxuridine,"OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O, OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O",5702211,0.631608654,0.028490851,0.037349148
ESS1,floxuridine,"OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O, OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O",5702211,0.64739711,0.087091951,0.128068844
A172,floxuridine,"OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O, OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O",5702211,0.580288333,0.054058005,0.088670606
TE11,floxuridine,"OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O, OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O",5702211,0.598060781,0.060557604,0.071627666
CAL27,floxuridine,"OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O, OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O",5702211,0.564635414,0.028675912,0.037794045
NCIH2023,floxuridine,"OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O, OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O",5702211,0.690942214,0.079400077,0.091684407
8MGBA,floxuridine,"OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O, OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O",5702211,0.581447895,0.066960897,0.082071651
GCIY,floxuridine,"OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O, OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O",5702211,0.57358564,0.048452402,0.060753731
SF539,floxuridine,"OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O, OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O",5702211,0.492328028,0.034496396,0.036926113
MG63,floxuridine,"OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O, OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O",5702211,0.750275216,0.324131206,0.447994959
